Employee_ID,Provider_Name,Primary_Division,Department,Provider_Type,Specialty,Benchmark_Group,Population,Compensation_Plan,Years_of_Experience,Current_FTE,Clinical_FTE,Current_Base_Salary,Current_TCC,Current_CF,Current_Target_WRVUs,Prior_Year_WRVUs,Current_TCC_Percentile,WRVU_Percentile,Evaluation_Score,Percent_of_Year_Employed,Prior_Year_WRVU_Incentive,Current_Compa_Ratio
PHY1000,Mark Moore,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,21.3,0.9,0.9,226637,226637,40.2,5317,4276,28,33,5,,,
PHY1001,Emily Gonzalez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,4.9,0.8,0.8,206747,206747,52.5,5527,2524,9,7,1,,,
PHY1002,Richard Williams,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,4.6,0.9,0.9,199755,199755,48.7,4067,3624,23,27,3,,,
PHY1003,Mary Williams,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,13.9,0.8,0.8,223466,223466,41.9,5614,3862,31,31,2,,,
PHY1004,Susan Lopez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,1.9,0.9,0.9,141467,302179,52.3,5733,8531,85,92,1,,,
PHY1005,James Anderson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,12,0.8,0.8,211956,383803,57.6,4194,7178,67,73,3,,,
PHY1006,Michelle Jones,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,24.9,0.8,0.8,219906,288041,58,5085,6260,63,58,2,,,
PHY1007,Lisa King,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,17.4,1,1,207522,262822,57.4,5080,6044,54,58,4,,,
PHY1008,Carol Brown,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,11.9,0.9,0.9,222492,222492,39.1,6432,3659,21,23,1,,,
PHY1009,Ashley Wilson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,5.2,0.9,0.9,192627,355030,57.3,4816,7651,77,80,1,,,
PHY1010,Emily Sanchez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,21.9,1,1,222639,232229,41,5510,5680,49,53,2,,,
PHY1011,Thomas Johnson,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,5.5,1,1,195850,205143,49.7,6472,3565,22,23,3,,,
PHY1012,Steven Thomas,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,8.4,1,1,219733,273807,43.9,5238,6471,57,60,2,,,
PHY1013,Jessica Clark,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,5.5,0.7,0.7,190848,190848,52.7,4785,3312,15,21,3,,,
PHY1014,Charles Lewis,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,22.8,0.9,0.9,226010,400785,46.5,4385,8140,86,87,1,,,
PHY1015,Sandra Allen,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,5.2,0.8,0.8,206864,206864,49.1,6462,5698,45,54,1,,,
PHY1016,David Lee,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,16.9,0.9,0.9,226324,260168,59.8,6040,6606,61,64,3,,,
PHY1017,Kevin Ramirez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,8.7,1,1,205499,373894,51,4823,7991,81,78,4,,,
PHY1018,Amanda Scott,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,11.7,0.9,0.9,216025,221808,39.5,4683,3404,26,22,4,,,
PHY1019,Donna Davis,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,16.7,0.8,0.8,213298,227805,46.6,5173,5484,40,47,3,,,
PHY1020,Richard Perez,General Pediatrics,General Pediatrics,physician,Primary Care,,physician,tier,13.7,0.9,0.9,206732,220995,46.5,4337,2524,12,13,3,,,
